"Source:","/home/dchevalier/Documents/alan-setup/fab/kicad/controller_pcb/controller_pcb.kicad_sch"
"Date:","Sat 17 Feb 2024 03:52:16 PM"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Category","DK_Datasheet_Link","DK_Detail_Page","Datasheet_1","Description","Digi-Key_PN","Family","Footprint_1","Height","MPN","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Status","Value_1"
"","","A1","Arduino_Mega2560_R3_Shield","arduino-library:Arduino_Mega2560_R3_Shield","PCM_arduino-library:Arduino_Mega2560_R3_Shield","https://docs.arduino.cc/hardware/mega-2560","","","","","","","","","","","","","","","","","","","",""
"","","CBAT1","GRM155R70J104KA01D","GRM155R70J104KA01D:GRM155R70J104KA01D","","","GRM155R70J104KA01D","https://www.arrow.com/en/products/grm155r70j104ka01d/murata-manufacturing?region=nac","","","","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf","","","","CAPC1005X55N","0.55","","","Murata Electronics","GRM155R70J104KA01D","81-GRM155R70J104KA1D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155R70J104KA01D?qs=y02iAgv9n61EgJSmMyZ7gQ%3D%3D","C","","GRM155R70J104KA01D"
"","","CBOOT1","EMK107B7104KA-T","EMK107B7104KA-T:EMK107B7104KA-T","","","EMK107B7104KA-T","https://www.arrow.com/en/products/emk107b7104ka-t/taiyo-yuden","","","","http://www.farnell.com/datasheets/746258.pdf","","","","CAPC1608X95N","0.95","","","TAIYO YUDEN","EMK107B7104KA-T","963-EMK107B7104KA-T","https://www.mouser.co.uk/ProductDetail/TAIYO-YUDEN/EMK107B7104KA-T?qs=I6KAKw0tg2ybqzX8hKPgfw%3D%3D","C","","EMK107B7104KA-T"
"","","CBOOT1-2","EMK107B7104KA-T","EMK107B7104KA-T:EMK107B7104KA-T","","","EMK107B7104KA-T","https://www.arrow.com/en/products/emk107b7104ka-t/taiyo-yuden","","","","http://www.farnell.com/datasheets/746258.pdf","","","","CAPC1608X95N","0.95","","","TAIYO YUDEN","EMK107B7104KA-T","963-EMK107B7104KA-T","https://www.mouser.co.uk/ProductDetail/TAIYO-YUDEN/EMK107B7104KA-T?qs=I6KAKw0tg2ybqzX8hKPgfw%3D%3D","C","","EMK107B7104KA-T"
"","","CBOOT2","EMK107B7104KA-T","EMK107B7104KA-T:EMK107B7104KA-T","","","EMK107B7104KA-T","https://www.arrow.com/en/products/emk107b7104ka-t/taiyo-yuden","","","","http://www.farnell.com/datasheets/746258.pdf","","","","CAPC1608X95N","0.95","","","TAIYO YUDEN","EMK107B7104KA-T","963-EMK107B7104KA-T","https://www.mouser.co.uk/ProductDetail/TAIYO-YUDEN/EMK107B7104KA-T?qs=I6KAKw0tg2ybqzX8hKPgfw%3D%3D","C","","EMK107B7104KA-T"
"","","CBOOT2-2","EMK107B7104KA-T","EMK107B7104KA-T:EMK107B7104KA-T","","","EMK107B7104KA-T","https://www.arrow.com/en/products/emk107b7104ka-t/taiyo-yuden","","","","http://www.farnell.com/datasheets/746258.pdf","","","","CAPC1608X95N","0.95","","","TAIYO YUDEN","EMK107B7104KA-T","963-EMK107B7104KA-T","https://www.mouser.co.uk/ProductDetail/TAIYO-YUDEN/EMK107B7104KA-T?qs=I6KAKw0tg2ybqzX8hKPgfw%3D%3D","C","","EMK107B7104KA-T"
"","","CCC1","GRM155R70J104KA01D","GRM155R70J104KA01D:GRM155R70J104KA01D","","","GRM155R70J104KA01D","https://www.arrow.com/en/products/grm155r70j104ka01d/murata-manufacturing?region=nac","","","","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf","","","","CAPC1005X55N","0.55","","","Murata Electronics","GRM155R70J104KA01D","81-GRM155R70J104KA1D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155R70J104KA01D?qs=y02iAgv9n61EgJSmMyZ7gQ%3D%3D","C","","GRM155R70J104KA01D"
"","","CCOMP1","GRM155R70J104KA01D","GRM155R70J104KA01D:GRM155R70J104KA01D","","","GRM155R70J104KA01D","https://www.arrow.com/en/products/grm155r70j104ka01d/murata-manufacturing?region=nac","","","","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf","","","","CAPC1005X55N","0.55","","","Murata Electronics","GRM155R70J104KA01D","81-GRM155R70J104KA1D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155R70J104KA01D?qs=y02iAgv9n61EgJSmMyZ7gQ%3D%3D","C","","GRM155R70J104KA01D"
"","","CCOMP-2","GRM155R70J473KA01D","GRM155R70J473KA01D:GRM155R70J473KA01D","","","GRM155R70J473KA01D","https://www.arrow.com/en/products/grm155r70j473ka01d/murata-manufacturing?region=nac","","","","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf","","","","CAPC1005X55N","0.55","","","Murata Electronics","GRM155R70J473KA01D","81-GRM155R70J473KA1D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155R70J473KA01D?qs=y02iAgv9n63DJ80zfdDo8g%3D%3D","C","","GRM155R70J473KA01D"
"","","CEN1","C1608X6S1C475K080AC","C1608X6S1C475K080AC:C1608X6S1C475K080AC","","","C1608X6S1C475K080AC","https://www.arrow.com/en/products/c1608x6s1c475k080ac/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC1608X80N","0.8","","","TDK","C1608X6S1C475K080AC","810-C1608X6S1C475K","https://www.mouser.co.uk/ProductDetail/TDK/C1608X6S1C475K080AC?qs=dfay7wIA1uELNO4%252B8xvBDw%3D%3D","C","","C1608X6S1C475K080AC"
"","","CIN1","EEE-FK1V101P","EEE-FK1V101P:EEE-FK1V101P","","","EEE-FK1V101P","https://www.arrow.com/en/products/eeefk1v101p/panasonic?region=nac","","","","http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf","","","","EEHZT1E331UP","10.8","","","Panasonic","EEE-FK1V101P","667-EEE-FK1V101P","https://www.mouser.co.uk/ProductDetail/Panasonic/EEE-FK1V101P?qs=qE6bgDGEOCsMXxs4z7sT2w%3D%3D","C","","EEE-FK1V101P"
"","","CIN-2","25SVPF47M","25SVPF47M:25SVPF47M","","","25SVPF47M","https://www.arrow.com/en/products/25svpf47m/panasonic?region=nac","","","","http://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C177.pdf","","","","16SVF180M","6","","","Panasonic","25SVPF47M","667-25SVPF47M","https://www.mouser.co.uk/ProductDetail/Panasonic/25SVPF47M?qs=OE1iw1LrrPH6vnYaLYl%2FJw%3D%3D","C","","25SVPF47M"
"","","CINX1","C3225X7R1H106M250AC","C3225X7R1H106M250AC:C3225X7R1H106M250AC","","","C3225X7R1H106M250AC","https://www.arrow.com/en/products/c3225x7r1h106m250ac/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC3225X230N","2.3","","","TDK","C3225X7R1H106M250AC","810-C3225X7R1H106MAC","https://www.mouser.co.uk/ProductDetail/TDK/C3225X7R1H106M250AC?qs=6JAMGB%252BEdkwY95l8JqNSnw%3D%3D","C","","C3225X7R1H106M250AC"
