Date,1,2,3,4,5,6,7,8,9,10,11,12
21-Jun-23,,,,,,,,,,,,
26-Jun-23,,,,,,,,,,,,
01-Jul-23,,,B?,,,,,,,,,
06-Jul-23,BC,,,,,,,,,,,
11-Jul-23,,,,,,,,,,,,
16-Jul-23,,,,,,,,,,,,
21-Jul-23,,,B,,,,B,,B,,,B
26-Jul-23,,,B,,,,,,B,,B,
31-Jul-23,,,,,,,,,,,,
05-Aug-23,,,,,,,,,,B,,
10-Aug-23,,,,,,,,,,,,
15-Aug-23,,,,,,,,,,,,
20-Aug-23,,,,,,,,,,,,
25-Aug-23,,,,,,,,,,,,
30-Aug-23,,,,,,,,,,,,
04-Sep-23,,,,,,,,,,,,
09-Sep-23,,,,,,,,,,,,
14-Sep-23,,,,,,,,,,,,
19-Sep-23,,,,,,,,,,,,
24-Sep-23,,,,,,,,,,,,
29-Sep-23,,,,,,,,,,,,
04-Oct-23,,,,,B,,,,B,,,
09-Oct-23,,,,,,,,,B,,,
14-Oct-23,,B,,,,,B,B,B,,,
19-Oct-23,ND,dep,,dep,,dep,dep,dep,B,dep,ND?,ND?
24-Oct-23,,,,,,,,,,,,
29-Oct-23,ND,,,,,,,,ND,,ND,
03-Nov-23,ND,,,,ND?,,,,ND?,,ND?,
08-Nov-23,,B,B,,,,,B,,L,,B
13-Nov-23,,B,B,B,dep,,B,B,,,,B
18-Nov-23,,ND,,,,,,,,,,
23-Nov-23,BW,BC,,,,,,,,,BC,
28-Nov-23,0,0,1,1,1,1,1,1,0,1,0,1
03-Dec-23,0,0,1,1,1,1,1,1,0,1,0,1
