"","Date","Site","Status"
"1",2023-06-21,1,""
"2",2023-06-21,2,""
"3",2023-06-21,3,""
"4",2023-06-21,4,""
"5",2023-06-21,5,""
"6",2023-06-21,6,""
"7",2023-06-21,7,""
"8",2023-06-21,8,""
"9",2023-06-21,9,""
"10",2023-06-21,10,""
"11",2023-06-21,11,""
"12",2023-06-21,12,""
"13",2023-06-26,1,""
"14",2023-06-26,2,""
"15",2023-06-26,3,""
"16",2023-06-26,4,""
"17",2023-06-26,5,""
"18",2023-06-26,6,""
"19",2023-06-26,7,""
"20",2023-06-26,8,""
"21",2023-06-26,9,""
"22",2023-06-26,10,""
"23",2023-06-26,11,""
"24",2023-06-26,12,""
"25",2023-07-01,1,""
"26",2023-07-01,2,""
"27",2023-07-01,3,"B?"
"28",2023-07-01,4,""
"29",2023-07-01,5,""
"30",2023-07-01,6,""
"31",2023-07-01,7,""
"32",2023-07-01,8,""
"33",2023-07-01,9,""
"34",2023-07-01,10,""
"35",2023-07-01,11,""
"36",2023-07-01,12,""
"37",2023-07-06,1,"BC"
"38",2023-07-06,2,""
"39",2023-07-06,3,""
"40",2023-07-06,4,""
"41",2023-07-06,5,""
"42",2023-07-06,6,""
"43",2023-07-06,7,""
"44",2023-07-06,8,""
"45",2023-07-06,9,""
"46",2023-07-06,10,""
"47",2023-07-06,11,""
"48",2023-07-06,12,""
"49",2023-07-11,1,""
"50",2023-07-11,2,""
"51",2023-07-11,3,""
"52",2023-07-11,4,""
"53",2023-07-11,5,""
"54",2023-07-11,6,""
"55",2023-07-11,7,""
"56",2023-07-11,8,""
"57",2023-07-11,9,""
"58",2023-07-11,10,""
"59",2023-07-11,11,""
"60",2023-07-11,12,""
"61",2023-07-16,1,""
"62",2023-07-16,2,""
"63",2023-07-16,3,""
"64",2023-07-16,4,""
"65",2023-07-16,5,""
"66",2023-07-16,6,""
"67",2023-07-16,7,""
"68",2023-07-16,8,""
"69",2023-07-16,9,""
"70",2023-07-16,10,""
"71",2023-07-16,11,""
"72",2023-07-16,12,""
"73",2023-07-21,1,""
"74",2023-07-21,2,""
"75",2023-07-21,3,"B"
"76",2023-07-21,4,""
"77",2023-07-21,5,""
"78",2023-07-21,6,""
"79",2023-07-21,7,"B"
"80",2023-07-21,8,""
"81",2023-07-21,9,"B"
"82",2023-07-21,10,""
"83",2023-07-21,11,""
"84",2023-07-21,12,"B"
"85",2023-07-26,1,""
"86",2023-07-26,2,""
"87",2023-07-26,3,"B"
"88",2023-07-26,4,""
"89",2023-07-26,5,""
"90",2023-07-26,6,""
"91",2023-07-26,7,""
"92",2023-07-26,8,""
"93",2023-07-26,9,"B"
"94",2023-07-26,10,""
"95",2023-07-26,11,"B"
"96",2023-07-26,12,""
"97",2023-07-31,1,""
"98",2023-07-31,2,""
"99",2023-07-31,3,""
"100",2023-07-31,4,""
"101",2023-07-31,5,""
"102",2023-07-31,6,""
"103",2023-07-31,7,""
"104",2023-07-31,8,""
"105",2023-07-31,9,""
"106",2023-07-31,10,""
"107",2023-07-31,11,""
"108",2023-07-31,12,""
"109",2023-08-05,1,""
"110",2023-08-05,2,""
"111",2023-08-05,3,""
"112",2023-08-05,4,""
"113",2023-08-05,5,""
"114",2023-08-05,6,""
"115",2023-08-05,7,""
"116",2023-08-05,8,""
"117",2023-08-05,9,""
"118",2023-08-05,10,"B"
"119",2023-08-05,11,""
"120",2023-08-05,12,""
"121",2023-08-10,1,""
"122",2023-08-10,2,""
"123",2023-08-10,3,""
"124",2023-08-10,4,""
"125",2023-08-10,5,""
"126",2023-08-10,6,""
"127",2023-08-10,7,""
"128",2023-08-10,8,""
"129",2023-08-10,9,""
"130",2023-08-10,10,""
"131",2023-08-10,11,""
"132",2023-08-10,12,""
"133",2023-08-15,1,""
"134",2023-08-15,2,""
"135",2023-08-15,3,""
"136",2023-08-15,4,""
"137",2023-08-15,5,""
"138",2023-08-15,6,""
"139",2023-08-15,7,""
