Site,StartDate,Treatment,LabelledSite,PrescribedTreatment,Status,Folder
,2023-06-21,,1,C,0,
,2023-06-21,,2,W,0,
,2023-06-21,,3,C,0,
,2023-06-21,,4,C,0,
,2023-06-21,,5,C,0,
,2023-06-21,,6,W,0,
,2023-06-21,,7,C,0,
,2023-06-21,,8,C,0,
,2023-06-21,,9,W,0,
,2023-06-21,,10,A,0,
,2023-06-21,,11,A,0,
,2023-06-21,,12,A,0,
1,2023-06-26,C,1,A,1,1
2,2023-06-26,A,2,C,1,2
,2023-06-26,,3,A,0,
4,2023-06-26,A,4,W,1,4
5,2023-06-26,,5,W,1,5
6,2023-06-26,C,6,C,1,6
7,2023-06-26,W,7,W,1,7
8,2023-06-26,A,8,A,1,8
,2023-06-26,,9,C,0,
10,2023-06-26,C,10,C,1,10
11,2023-06-26,C,11,C,1,11
12,2023-06-26,C,12,C,1,12
3,2023-07-01,,1,C,1,1
2,2023-07-01,,2,A,1,2
,2023-07-01,,3,C,0,
4,2023-07-01,C,4,C,1,4
5,2023-07-01,C,5,C,1,5
,2023-07-01,,6,A,0,
,2023-07-01,,7,C,0,
8,2023-07-01,C,8,C,1,8
9,2023-07-01,W,9,A,1,9
10,2023-07-01,W,10,W,1,10
,2023-07-01,,11,W,0,
12,2023-07-01,W,12,W,1,12
3,2023-07-06,,1,W,0,1
2,2023-07-06,C,2,C,1,2
,2023-07-06,,3,W,0,
,2023-07-06,,4,A,0,
5,2023-07-06,C,5,A,1,5
6,2023-07-06,C,6,C,1,6
7,2023-07-06,A,7,A,1,7
,2023-07-06,,8,W,0,
,2023-07-06,,9,C,0,
10,2023-07-06,C,10,C,1,10
11,2023-07-06,,11,C,1,11
12,2023-07-06,C,12,C,1,12
3,2023-07-11,C,1,C,1,1
2,2023-07-11,W,2,W,1,2
3,2023-07-11,C,3,C,1,3
4,2023-07-11,,4,C,1,4
5,2023-07-11,,5,C,1,5
6,2023-07-11,W,6,W,1,6
