StartDate,Site,Status,Folder,Label,
2023-06-21,1,,NA,NA,
2023-06-26,1,,1,1,
2023-07-01,1,,1,3,
2023-07-06,1,BC,1,3,
2023-07-11,1,,1,3,
2023-07-16,1,,1,3,
2023-07-21,1,,1,3,
2023-07-26,1,,1,3,
2023-07-31,1,,1,3,
2023-08-05,1,,1,3,
2023-08-10,1,,1,3,
2023-08-15,1,,1,3,
2023-08-20,1,,NA,NA,
2023-08-25,1,,NA,NA,
2023-08-30,1,,NA,NA,
2023-09-04,1,,NA,NA,
2023-09-09,1,,NA,NA,
2023-09-14,1,,NA,NA,
2023-09-19,1,,NA,NA,
2023-09-24,1,,NA,NA,
2023-09-29,1,,NA,NA,
2023-10-04,1,,NA,NA,
2023-10-09,1,,NA,NA,
2023-10-14,1,,NA,NA,
2023-10-19,1,ND,NA,NA,
2023-10-24,1,,NA,NA,
2023-10-29,1,ND,NA,NA,
2023-11-03,1,ND,NA,NA,
2023-11-08,1,,NA,NA,
2023-11-13,1,,NA,NA,
2023-11-18,1,,NA,NA,
2023-11-23,1,BW,NA,NA,
2023-11-28,1,,NA,NA,
2023-12-03,1,,NA,NA,
2023-06-21,2,,NA,NA,
2023-06-26,2,,2,2,
2023-07-01,2,,2,2,
2023-07-06,2,,2,2,
2023-07-11,2,,2,2,
2023-07-16,2,,2,2,
2023-07-21,2,,2,2,
2023-07-26,2,,NA,NA,
2023-07-31,2,,NA,NA,
2023-08-05,2,,NA,NA,
2023-08-10,2,,NA,NA,
2023-08-15,2,,NA,NA,
2023-08-20,2,,NA,NA,
2023-08-25,2,,NA,NA,
2023-08-30,2,,NA,NA,
2023-09-04,2,,NA,NA,
2023-09-09,2,,NA,NA,
2023-09-14,2,,NA,NA,
2023-09-19,2,,NA,NA,
2023-09-24,2,,NA,NA,
2023-09-29,2,,NA,NA,
2023-10-04,2,,NA,NA,
2023-10-09,2,,NA,NA,
2023-10-14,2,B,NA,NA,
2023-10-19,2,dep,NA,NA,
2023-10-24,2,,4,11,
2023-10-29,2,,NA,NA,
2023-11-03,2,,4,4,
2023-11-08,2,B,NA,NA,
2023-11-13,2,,NA,NA,
2023-11-18,2,,4,4,
2023-11-23,2,,4,4,
2023-11-28,2,,4,4,
2023-12-03,2,,NA,NA,
2023-06-21,3,,NA,NA,
2023-06-26,3,,NA,NA,
2023-07-01,3,B?,NA,NA,
2023-07-06,3,,NA,NA,
2023-07-11,3,,3,3,
2023-07-16,3,,NA,NA,
2023-07-21,3,,3,3,
2023-07-26,3,B,NA,NA,
2023-07-31,3,,3,3,
2023-08-05,3,,NA,NA,
2023-08-10,3,,3,3,
2023-08-15,3,,3,3,
2023-08-20,3,,3,3,
2023-08-25,3,,3,3,
2023-08-30,3,,3,3,
2023-09-04,3,,NA,NA,
2023-09-09,3,,NA,NA,
2023-09-14,3,,NA,NA,
2023-09-19,3,,NA,NA,
2023-09-24,3,,NA,NA,
2023-09-29,3,,NA,NA,
2023-10-04,3,,NA,NA,
2023-10-09,3,,NA,NA,
2023-10-14,3,,NA,NA,
2023-10-19,3,,NA,NA,
2023-10-24,3,,3,3,
2023-10-29,3,,3,3,
2023-11-03,3,,3,3,
2023-11-08,3,B,NA,NA,
2023-11-13,3,,3,3,
2023-11-18,3,,3,3,
2023-11-23,3,,3,3,
2023-11-28,3,,3,3,
2023-12-03,3,,NA,NA,
2023-06-21,4,,NA,NA,
2023-06-26,4,,4,4,
2023-07-01,4,,4,4,
2023-07-06,4,,NA,NA,
2023-07-11,4,,4,4,
2023-07-16,4,B,NA,NA,
2023-07-21,4,,4,4,
2023-07-26,4,,4,4,
2023-07-31,4,,4,4,
2023-08-05,4,,4,4,
2023-08-10,4,,4,4,
2023-08-15,4,,4,4,
2023-08-20,4,,NA,NA,
2023-08-25,4,,4,4,
2023-08-30,4,,4,4,
2023-09-04,4,,NA,NA,
2023-09-09,4,,NA,NA,
2023-09-14,4,,NA,NA,
2023-09-19,4,,NA,NA,
2023-09-24,4,,NA,NA,
2023-09-29,4,,NA,NA,
2023-10-04,4,,NA,NA,
2023-10-09,4,,NA,NA,
2023-10-14,4,,NA,NA,
2023-10-19,4,dep,NA,NA,
2023-10-24,4,,NA,NA,
2023-10-29,4,,NA,NA,
2023-11-03,4,,2,2,
2023-11-08,4,,NA,NA,
2023-11-13,4,B,NA,NA,
2023-11-18,4,,2,2,
2023-11-23,4,,2,2,
2023-11-28,4,,2,2,
2023-12-03,4,,NA,NA,
2023-06-21,5,,NA,NA,
2023-06-26,5,,5,5,
2023-07-01,5,,5,5,
2023-07-06,5,,5,5,
