Timestamp,Site,Status,Folder,Label
21-06-2023,1,,NA,NA
26-06-2023,1,,1,1
01-07-2023,1,,1,3
06-07-2023,1,BC,1,3
11-07-2023,1,,1,3
16-07-2023,1,,1,3
21-07-2023,1,,1,3
26-07-2023,1,,1,3
31-07-2023,1,,1,3
05-08-2023,1,,1,3
10-08-2023,1,,1,3
15-08-2023,1,,1,3
20-08-2023,1,,NA,NA
25-08-2023,1,,NA,NA
30-08-2023,1,,NA,NA
04-09-2023,1,,NA,NA
09-09-2023,1,,NA,NA
14-09-2023,1,,NA,NA
19-09-2023,1,,NA,NA
24-09-2023,1,,NA,NA
29-09-2023,1,,NA,NA
04-10-2023,1,,NA,NA
09-10-2023,1,,NA,NA
14-10-2023,1,,NA,NA
19-10-2023,1,ND,NA,NA
24-10-2023,1,,NA,NA
29-10-2023,1,ND,NA,NA
03-11-2023,1,ND,NA,NA
08-11-2023,1,,NA,NA
13-11-2023,1,,NA,NA
18-11-2023,1,,NA,NA
23-11-2023,1,BW,NA,NA
28-11-2023,1,,NA,NA
03-12-2023,1,,NA,NA
21-06-2023,2,,NA,NA
26-06-2023,2,,2,2
01-07-2023,2,,2,2
06-07-2023,2,,2,2
11-07-2023,2,,2,2
16-07-2023,2,,2,2
21-07-2023,2,,2,2
26-07-2023,2,,NA,NA
31-07-2023,2,,NA,NA
05-08-2023,2,,NA,NA
10-08-2023,2,,NA,NA
15-08-2023,2,,NA,NA
20-08-2023,2,,NA,NA
25-08-2023,2,,NA,NA
30-08-2023,2,,NA,NA
04-09-2023,2,,NA,NA
09-09-2023,2,,NA,NA
14-09-2023,2,,NA,NA
19-09-2023,2,,NA,NA
24-09-2023,2,,NA,NA
29-09-2023,2,,NA,NA
04-10-2023,2,,NA,NA
09-10-2023,2,,NA,NA
14-10-2023,2,B,NA,NA
19-10-2023,2,dep,NA,NA
24-10-2023,2,,NA,NA
29-10-2023,2,,NA,NA
03-11-2023,2,,NA,NA
08-11-2023,2,B,NA,NA
13-11-2023,2,B,NA,NA
18-11-2023,2,ND,NA,NA
23-11-2023,2,BC,NA,NA
28-11-2023,2,,NA,NA
03-12-2023,2,,NA,NA
21-06-2023,3,,NA,NA
26-06-2023,3,,NA,NA
01-07-2023,3,B?,NA,NA
06-07-2023,3,,NA,NA
11-07-2023,3,,3,3
16-07-2023,3,,NA,NA
21-07-2023,3,,3,3
26-07-2023,3,B,NA,NA
31-07-2023,3,,3,3
05-08-2023,3,,NA,NA
10-08-2023,3,,3,3
15-08-2023,3,,3,3
20-08-2023,3,,3,3
25-08-2023,3,,3,3
30-08-2023,3,,3,3
04-09-2023,3,,NA,NA
09-09-2023,3,,NA,NA
14-09-2023,3,,NA,NA
19-09-2023,3,,NA,NA
24-09-2023,3,,NA,NA
29-09-2023,3,,NA,NA
04-10-2023,3,,NA,NA
09-10-2023,3,,NA,NA
14-10-2023,3,,NA,NA
19-10-2023,3,,NA,NA
24-10-2023,3,,3,3
29-10-2023,3,,3,3
03-11-2023,3,,3,3
08-11-2023,3,B,NA,NA
13-11-2023,3,,3,3
18-11-2023,3,,3,3
23-11-2023,3,,3,3
28-11-2023,3,,3,3
03-12-2023,3,,NA,NA
21-06-2023,4,,NA,NA
26-06-2023,4,,4,4
01-07-2023,4,,4,4
06-07-2023,4,,NA,NA
11-07-2023,4,,4,4
16-07-2023,4,,4,4
21-07-2023,4,,4,4
26-07-2023,4,,4,4
31-07-2023,4,,4,4
05-08-2023,4,,4,4
10-08-2023,4,,4,4
15-08-2023,4,,4,4
20-08-2023,4,,NA,NA
25-08-2023,4,,4,4
30-08-2023,4,,4,4
04-09-2023,4,,NA,NA
09-09-2023,4,,NA,NA
14-09-2023,4,,NA,NA
19-09-2023,4,,NA,NA
24-09-2023,4,,NA,NA
29-09-2023,4,,NA,NA
04-10-2023,4,,NA,NA
09-10-2023,4,,NA,NA
14-10-2023,4,,NA,NA
19-10-2023,4,dep,4,12
24-10-2023,4,,4,12
29-10-2023,4,,NA,NA
03-11-2023,4,,4,2
08-11-2023,4,,NA,NA
13-11-2023,4,B,NA,NA
18-11-2023,4,,4,2
23-11-2023,4,,4,2
28-11-2023,4,,4,2
03-12-2023,4,,NA,NA
21-06-2023,5,,NA,NA
26-06-2023,5,,5,5
01-07-2023,5,,5,5
06-07-2023,5,,5,5
11-07-2023,5,,5,5
16-07-2023,5,,5,5
21-07-2023,5,,5,5
26-07-2023,5,,5,5
31-07-2023,5,,5,5
05-08-2023,5,,5,5
10-08-2023,5,,5,5
15-08-2023,5,,5,5
20-08-2023,5,,5,5
25-08-2023,5,,5,5
30-08-2023,5,,5,5
04-09-2023,5,,NA,NA
09-09-2023,5,,NA,NA
14-09-2023,5,,NA,NA
19-09-2023,5,,NA,NA
24-09-2023,5,,NA,NA
29-09-2023,5,,NA,NA
04-10-2023,5,B,NA,NA
09-10-2023,5,,5,5
14-10-2023,5,,5,5
19-10-2023,5,,5,5
24-10-2023,5,,5,5
29-10-2023,5,,NA,NA
03-11-2023,5,ND?,NA,NA
08-11-2023,5,,NA,NA
13-11-2023,5,dep,NA,NA
18-11-2023,5,,NA,NA
23-11-2023,5,,5,5
28-11-2023,5,,5,5
03-12-2023,5,,5,5
21-06-2023,6,,NA,NA
26-06-2023,6,,6,6
01-07-2023,6,,NA,NA
06-07-2023,6,,6,6
11-07-2023,6,,6,6
16-07-2023,6,,6,6
21-07-2023,6,,6,6
26-07-2023,6,,6,6
31-07-2023,6,,6,6
05-08-2023,6,,6,6
10-08-2023,6,,6,6
15-08-2023,6,,6,6
20-08-2023,6,,6,6
25-08-2023,6,,6,6
30-08-2023,6,,6,6
04-09-2023,6,B,NA,NA
09-09-2023,6,B,NA,NA
14-09-2023,6,B,NA,NA
19-09-2023,6,B,NA,NA
24-09-2023,6,B,NA,NA
29-09-2023,6,B,NA,NA
04-10-2023,6,B,NA,NA
09-10-2023,6,B,NA,NA
14-10-2023,6,B,NA,NA
19-10-2023,6,dep,6,6
24-10-2023,6,,6,6
29-10-2023,6,,6,6
03-11-2023,6,,NA,NA
08-11-2023,6,,6,6
13-11-2023,6,,6,6
18-11-2023,6,,6,6
23-11-2023,6,,6,6
28-11-2023,6,,6,6
03-12-2023,6,,NA,NA
21-06-2023,7,,NA,NA
26-06-2023,7,,7,7
01-07-2023,7,,NA,NA
06-07-2023,7,,7,7
11-07-2023,7,,7,7
16-07-2023,7,,7,7
21-07-2023,7,B,NA,NA
26-07-2023,7,B,NA,NA
31-07-2023,7,,7,7
05-08-2023,7,,7,7
10-08-2023,7,,7,7
15-08-2023,7,,7,7
20-08-2023,7,,7,7
25-08-2023,7,,7,7
30-08-2023,7,,7,7
04-09-2023,7,B,NA,NA
09-09-2023,7,,NA,NA
14-09-2023,7,,NA,NA
19-09-2023,7,,NA,NA
24-09-2023,7,,NA,NA
29-09-2023,7,,NA,NA
04-10-2023,7,,NA,NA
09-10-2023,7,,NA,NA
14-10-2023,7,B,NA,NA
19-10-2023,7,dep,NA,NA
24-10-2023,7,,NA,NA
29-10-2023,7,,NA,NA
03-11-2023,7,,,
08-11-2023,7,,NA,NA
13-11-2023,7,,7,7
18-11-2023,7,,7,7
23-11-2023,7,,NA,NA
28-11-2023,7,,7,7
03-12-2023,7,,NA,NA
21-06-2023,8,,NA,NA
26-06-2023,8,,8,8
01-07-2023,8,,8,8
06-07-2023,8,,NA,NA
11-07-2023,8,,8,8
16-07-2023,8,,8,8
21-07-2023,8,,8,8
26-07-2023,8,,8,8
31-07-2023,8,,8,8
05-08-2023,8,,8,8
10-08-2023,8,,8,8
15-08-2023,8,,8,8
20-08-2023,8,,8,8
25-08-2023,8,,8,8
30-08-2023,8,,8,8
04-09-2023,8,,NA,NA
09-09-2023,8,,NA,NA
14-09-2023,8,,NA,NA
19-09-2023,8,,NA,NA
24-09-2023,8,,NA,NA
29-09-2023,8,,NA,NA
04-10-2023,8,,NA,NA
09-10-2023,8,,8,8
14-10-2023,8,B,NA,NA
19-10-2023,8,dep,NA,NA
24-10-2023,8,,NA,NA
29-10-2023,8,,NA,NA
03-11-2023,8,,NA,NA
08-11-2023,8,B,NA,NA
13-11-2023,8,B,NA,NA
18-11-2023,8,,NA,NA
23-11-2023,8,,NA,NA
28-11-2023,8,,NA,NA
03-12-2023,8,,NA,NA
21-06-2023,9,,NA,NA
26-06-2023,9,,NA,NA
01-07-2023,9,,9,9
06-07-2023,9,,NA,NA
11-07-2023,9,,9,9
16-07-2023,9,,NA,NA
21-07-2023,9,B,NA,NA
26-07-2023,9,B,NA,NA
31-07-2023,9,,NA,NA
05-08-2023,9,,9,9
10-08-2023,9,,9,9
15-08-2023,9,,9,9
20-08-2023,9,,9,9
25-08-2023,9,,NA,NA
30-08-2023,9,,9,9
04-09-2023,9,,NA,NA
09-09-2023,9,,NA,NA
14-09-2023,9,,NA,NA
19-09-2023,9,,NA,NA
24-09-2023,9,,NA,NA
29-09-2023,9,,NA,NA
04-10-2023,9,B,NA,NA
09-10-2023,9,B,NA,NA
14-10-2023,9,B,NA,NA
19-10-2023,9,B,NA,NA
24-10-2023,9,,NA,NA
29-10-2023,9,ND,NA,NA
03-11-2023,9,ND?,NA,NA
08-11-2023,9,,NA,NA
13-11-2023,9,,NA,NA
18-11-2023,9,,NA,NA
23-11-2023,9,,NA,NA
28-11-2023,9,,NA,NA
03-12-2023,9,,NA,NA
21-06-2023,10,,NA,NA
26-06-2023,10,,10,10
01-07-2023,10,,10,10
06-07-2023,10,,10,10
11-07-2023,10,,10,10
16-07-2023,10,,10,10
21-07-2023,10,,10,10
26-07-2023,10,,10,10
31-07-2023,10,,NA,NA
05-08-2023,10,B,NA,NA
10-08-2023,10,,NA,NA
15-08-2023,10,,NA,NA
20-08-2023,10,,NA,NA
25-08-2023,10,,NA,NA
30-08-2023,10,,NA,NA
04-09-2023,10,,NA,NA
09-09-2023,10,,NA,NA
14-09-2023,10,,NA,NA
19-09-2023,10,,NA,NA
24-09-2023,10,,NA,NA
29-09-2023,10,,NA,NA
04-10-2023,10,,NA,NA
09-10-2023,10,,NA,NA
14-10-2023,10,,NA,NA
19-10-2023,10,dep,10,10
24-10-2023,10,,10,10
29-10-2023,10,,10,10
03-11-2023,10,,10,10
08-11-2023,10,L,10,10
13-11-2023,10,,10,10
18-11-2023,10,,10,10
23-11-2023,10,,10,10
28-11-2023,10,,10,10
03-12-2023,10,,NA,NA
21-06-2023,11,,NA,NA
26-06-2023,11,,11,11
01-07-2023,11,,NA,NA
06-07-2023,11,,11,11
11-07-2023,11,,11,11
16-07-2023,11,,11,11
21-07-2023,11,,NA,NA
26-07-2023,11,,11,11
31-07-2023,11,,NA,NA
05-08-2023,11,,11,11
10-08-2023,11,,NA,NA
15-08-2023,11,,NA,NA
20-08-2023,11,,NA,NA
25-08-2023,11,,NA,NA
30-08-2023,11,,NA,NA
04-09-2023,11,,NA,NA
09-09-2023,11,,NA,NA
14-09-2023,11,,NA,NA
19-09-2023,11,,NA,NA
24-09-2023,11,,NA,NA
29-09-2023,11,,NA,NA
04-10-2023,11,,NA,NA
09-10-2023,11,,NA,NA
14-10-2023,11,,NA,NA
19-10-2023,11,ND?,NA,NA
24-10-2023,11,,4,2
29-10-2023,11,ND,NA,NA
03-11-2023,11,ND?,NA,NA
08-11-2023,11,,4,2
13-11-2023,11,,4,2
18-11-2023,11,,NA,NA
23-11-2023,11,BC,NA,NA
28-11-2023,11,,NA,NA
03-12-2023,11,,NA,NA
21-06-2023,12,,NA,NA
26-06-2023,12,,12,12
01-07-2023,12,,12,12
06-07-2023,12,,12,12
11-07-2023,12,,12,12
16-07-2023,12,,12,12
21-07-2023,12,B,NA,NA
26-07-2023,12,B,NA,NA
31-07-2023,12,,12,12
05-08-2023,12,,12,12
10-08-2023,12,,12,12
15-08-2023,12,,12,12
20-08-2023,12,,12,12
25-08-2023,12,,12,12
30-08-2023,12,,NA,NA
04-09-2023,12,,NA,NA
09-09-2023,12,,NA,NA
14-09-2023,12,,NA,NA
19-09-2023,12,,NA,NA
24-09-2023,12,,NA,NA
29-09-2023,12,,NA,NA
04-10-2023,12,,NA,NA
09-10-2023,12,,NA,NA
14-10-2023,12,,NA,NA
19-10-2023,12,ND?,NA,NA
24-10-2023,12,,NA,NA
29-10-2023,12,,NA,NA
03-11-2023,12,,NA,NA
08-11-2023,12,B,NA,NA
13-11-2023,12,B,NA,NA
18-11-2023,12,,NA,NA
23-11-2023,12,,NA,NA
28-11-2023,12,1,NA,NA
03-12-2023,12,1,NA,NA
