StartDate,Site,Treatment,Distance,Petri_dish_weight,Petri_dish_weight_plus_PF_sample,Biomass
2023-06-21,1,C,0m,2.9934,5.9748,2.9814
2023-06-21,1,C,5m,3.1318,4.2015,1.0697
2023-06-21,2,W,0m,3.3418,6.909,3.5672
2023-06-21,2,W,5m,3.2189,5.3301,2.1112
2023-06-21,3,C,0m,3.0622,4.042,0.9798
2023-06-21,3,C,5m,3.0259,3.6934,0.6675
2023-06-21,4,C,0m,3.0426,6.4378,3.3952
2023-06-21,4,C,5m,3.0124,4.2569,1.2445
2023-06-21,5,C,0m,3.3392,4.6065,1.2673
2023-06-21,5,C,5m,2.9987,7.0603,4.0616
2023-06-21,6,W,0m,3.2034,4.2438,1.0404
2023-06-21,6,W,5m,3.6834,4.0297,0.3463
2023-06-21,7,C,0m,3.5384,3.6389,0.1005
2023-06-21,7,C,5m,3.0063,4.0698,1.0635
2023-06-21,8,C,0m,3.0565,4.6984,1.6419
2023-06-21,8,C,5m,3.2608,4.6238,1.363
2023-06-21,9,W,0m,3.0858,3.4371,0.3513
2023-06-21,9,W,5m,3.1624,3.2025,0.0401000000000002
2023-06-21,10,A,0m,3.1897,7.9416,4.7519
2023-06-21,10,A,5m,3.1265,3.5588,0.4323
2023-06-21,11,A,0m,3.0405,3.446,0.4055
2023-06-21,11,A,5m,3.2314,4.3315,1.1001
2023-06-21,12,A,0m,3.2164,5.6518,2.4354
2023-06-21,12,A,5m,3.1995,4.0861,0.8866
2023-07-01,1,C,0m,3.0756,6.0368,2.9612
2023-07-01,1,C,5m,3.0157,4.8409,1.8252
2023-07-01,2,A,0m,2.9637,7.6831,4.7194
2023-07-01,2,A,5m,3.1151,4.7723,1.6572
2023-07-01,3,C,0m,3.1249,4.2084,1.0835
2023-07-01,3,C,5m,3.0025,3.4329,0.4304
2023-07-01,4,C,0m,3.269,5.6622,2.3932
2023-07-01,4,C,5m,3.1397,7.1965,4.0568
2023-07-01,5,C,0m,3.0443,4.4654,1.4211
2023-07-01,5,C,5m,3.1116,3.5785,0.4669
2023-07-01,6,A,0m,3.0066,6.0144,3.0078
2023-07-01,6,A,5m,3.5707,4.6237,1.053
2023-07-01,7,C,0m,3.1922,3.6682,0.476
