Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948283467,2,0,1,0,0,16.319999,555,885,1121,1184,7329,3450,1072,1001,1232,1662,7327,3452
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948283767,2,0,1,0,0,22.031999,865,1368,1734,1857,11674,5641,1721,1629,1991,2651,11683,5641
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948284067,2,0,1,0,0,25.983158,1180,1882,2393,2561,15374,6988,2382,2227,2658,3422,15371,6986
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948284367,2,0,1,0,0,41.779197,1538,2464,3133,3353,19493,8478,3138,2910,3396,4250,19500,8480
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948284667,2,0,1,0,0,49.095996,1912,3082,3907,4170,23521,9742,3911,3602,4120,5017,23538,9752
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948284967,2,0,1,0,0,58.080001,2298,3714,4689,4979,27223,10520,4684,4276,4805,5717,27217,10522
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948285267,2,0,1,0,0,61.844207,2704,4373,5483,5792,31172,11561,5467,4969,5504,6425,31177,11569
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948285567,2,0,1,0,0,70.817146,3069,4956,6167,6481,34330,12223,6115,5539,6057,6957,34359,12220
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948285867,2,0,1,0,0,76.250663,3425,5504,6798,7097,37138,12954,6701,6052,6535,7389,37172,12965
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948286167,2,0,1,0,0,85.263671,3784,6046,7415,7710,40127,13860,7282,6559,7016,7843,40134,13863
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948286467,2,0,1,0,0,94.301895,4135,6571,8009,8307,43242,15038,7866,7102,7545,8371,43233,15041
Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
948286767,2,0,1,0,0,99.741424,4462,7040,8532,8817,45957,15867,8354,7543,7965,8779,45952,15865
