Timestamp,Amber,White,On,Override,Day_Ind
946684807,1,1,1,0,2
946684811,1,1,0,0,4
946684815,1,1,0,0,6
946684819,1,1,0,0,8
946684823,1,1,0,0,10
946684827,1,1,1,0,12
946684831,1,1,1,0,14
946684835,1,1,0,0,16
946684837,1,1,0,0,18
946684806,1,1,1,0,4
946684810,0,1,0,0,8
946684806,1,1,1,0,4
946684810,0,1,0,0,8
946684805,1,1,1,0,4
946684809,0,1,0,0,8
946684813,0,1,0,0,12
946684817,1,1,1,0,16
946684821,0,1,0,0,20
946684825,0,1,0,0,24
946684829,1,1,1,0,28
946684833,0,1,0,0,32
946684837,0,1,0,0,36
946684841,0,1,0,0,40
946684845,0,1,0,0,44
946684849,0,1,0,0,48
946684853,0,1,0,0,52
946684857,0,1,0,0,56
