Timestamp,Site,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1697767379,6,0,1,1,0,90.130905,3003,5148,5885,10632,45689,6746,15678,21669,28959,20968,45678,6748
1697767680,6,0,1,1,0,87.479995,3061,5252,6002,10861,46926,6888,16150,22322,29847,21561,47430,6952
1697767981,6,0,1,1,0,90.130905,2981,5108,5840,10549,45286,6692,15605,21552,28815,20870,45427,6710
1697768282,6,0,1,1,0,86.190002,2982,5111,5844,10558,45309,6696,15557,21503,28742,20828,45268,6694
1697768583,6,0,1,1,0,90.130905,3015,5173,5913,10687,45975,6778,15804,21848,29199,21114,46134,6800
1697768884,6,0,1,1,0,90.130905,2977,5106,5835,10545,45228,6686,15568,21512,28762,20822,45320,6698
1697769185,6,0,1,1,0,90.130905,3015,5172,5913,10685,46029,6782,15775,21793,29130,21063,46040,6780
1697769486,6,0,1,1,0,90.130905,3001,5148,5884,10636,45709,6740,15653,21625,28910,20914,45582,6728
1697769787,6,0,1,1,0,90.130905,2957,5067,5791,10461,44794,6632,15465,21374,28566,20699,44937,6654
1697770088,6,0,1,1,0,90.130905,3023,5185,5928,10702,46100,6792,15789,21831,29177,21118,46069,6794
1697770389,6,0,1,1,0,90.130905,2997,5137,5872,10602,45514,6726,15642,21617,28895,20921,45533,6726
1697770690,6,0,1,1,0,90.130905,3012,5163,5903,10656,45780,6758,15726,21743,29058,21022,45829,6765
