Timestamp,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1686888004,0,1,0,0,0.024410,0,0,0,0,6,0,0,0,0,0,5,0
1686888010,0,1,0,0,0.023867,0,0,0,0,5,0,0,0,0,0,6,0
1686888016,0,1,0,0,0.023867,0,0,0,0,6,0,0,0,0,0,5,0
1686888022,0,1,0,0,0.024410,0,0,0,0,5,0,0,0,0,0,6,0
1686888028,0,1,0,0,0.022568,0,0,0,0,5,0,0,0,0,0,6,0
1686888034,0,1,0,0,0.022568,0,0,0,0,5,0,0,0,0,0,5,0
1686888040,0,1,0,0,0.023093,0,0,0,0,5,0,0,0,0,0,5,0
1686888046,0,1,0,0,0.023643,0,0,0,0,5,0,0,0,0,0,5,0
1686888052,0,1,0,0,0.022320,0,0,0,0,5,0,0,0,0,0,5,0
1686888058,0,1,0,0,0.023093,0,0,0,0,5,0,0,0,0,0,5,0
1686888064,0,1,0,0,0.021789,0,0,0,0,5,0,0,0,0,0,5,0
1686888070,0,1,0,0,0.021789,0,0,0,0,5,0,0,0,0,0,5,0
1686888076,0,1,0,0,0.022879,0,0,0,0,5,0,0,0,0,0,5,0
1686888082,0,1,0,0,0.022879,0,0,0,0,5,0,0,0,0,0,5,0
1686888088,0,1,0,0,0.022879,0,0,0,0,5,0,0,0,0,0,5,0
1686888094,0,1,0,0,0.022879,0,0,0,0,5,0,0,0,0,0,5,0
1686888100,0,1,0,0,0.021550,0,0,0,0,5,0,0,0,0,0,4,0
1686888106,0,1,0,0,0.022320,0,0,0,0,5,0,0,0,0,0,5,0
1686888112,0,1,0,0,0.023465,0,0,0,0,5,0,0,0,0,0,4,0
1686888118,0,1,0,0,0.021550,0,0,0,0,5,0,0,0,0,0,4,0
1686888124,0,1,0,0,0.021012,0,0,0,0,4,0,0,0,0,0,5,0
1686888130,0,1,0,0,0.021550,0,0,0,0,5,0,0,0,0,0,4,0
1686888136,0,1,0,0,0.022118,0,0,0,0,4,0,0,0,0,0,4,0
1686888142,0,1,0,0,0.020783,0,0,0,0,5,0,0,0,0,0,5,0
1686888148,0,1,0,0,0.021550,0,0,0,0,4,0,0,0,0,0,4,0
1686888154,0,1,0,0,0.021550,0,0,0,0,4,0,0,0,0,0,4,0
1686888160,0,1,0,0,0.020783,0,0,0,0,5,0,0,0,0,0,4,0
1686888166,0,1,0,0,0.021360,0,0,0,0,4,0,0,0,0,0,5,0
1686888172,0,1,0,0,0.021360,0,0,0,0,4,0,0,0,0,0,4,0
