"2023-06-21_1_C","2023-06-21_2_W","2023-06-21_3_C","2023-06-21_4_C","2023-06-21_5_C","2023-06-21_6_W","2023-06-21_7_C","2023-06-21_8_C","2023-06-21_9_W","2023-06-21_10_A","2023-06-21_11_A","2023-06-21_12_A"
"2023-06-26_1_A","2023-06-26_2_C","2023-06-26_3_A","2023-06-26_4_W","2023-06-26_5_W","2023-06-26_6_C","2023-06-26_7_W","2023-06-26_8_A","2023-06-26_9_C","2023-06-26_10_C","2023-06-26_11_C","2023-06-26_12_C"
"2023-07-01_1_C","2023-07-01_2_A","2023-07-01_3_C","2023-07-01_4_C","2023-07-01_5_C","2023-07-01_6_A","2023-07-01_7_C","2023-07-01_8_C","2023-07-01_9_A","2023-07-01_10_W","2023-07-01_11_W","2023-07-01_12_W"
"2023-07-06_1_W","2023-07-06_2_C","2023-07-06_3_W","2023-07-06_4_A","2023-07-06_5_A","2023-07-06_6_C","2023-07-06_7_A","2023-07-06_8_W","2023-07-06_9_C","2023-07-06_10_C","2023-07-06_11_C","2023-07-06_12_C"
"2023-07-11_1_C","2023-07-11_2_W","2023-07-11_3_C","2023-07-11_4_C","2023-07-11_5_C","2023-07-11_6_W","2023-07-11_7_C","2023-07-11_8_C","2023-07-11_9_W","2023-07-11_10_A","2023-07-11_11_A","2023-07-11_12_A"
"2023-07-16_1_A","2023-07-16_2_C","2023-07-16_3_A","2023-07-16_4_W","2023-07-16_5_W","2023-07-16_6_C","2023-07-16_7_W","2023-07-16_8_A","2023-07-16_9_C","2023-07-16_10_C","2023-07-16_11_C","2023-07-16_12_C"
"2023-07-21_1_C","2023-07-21_2_A","2023-07-21_3_C","2023-07-21_4_C","2023-07-21_5_C","2023-07-21_6_A","2023-07-21_7_C","2023-07-21_8_C","2023-07-21_9_A","2023-07-21_10_W","2023-07-21_11_W","2023-07-21_12_W"
"2023-07-26_1_W","2023-07-26_2_C","2023-07-26_3_W","2023-07-26_4_A","2023-07-26_5_A","2023-07-26_6_C","2023-07-26_7_A","2023-07-26_8_W","2023-07-26_9_C","2023-07-26_10_C","2023-07-26_11_C","2023-07-26_12_C"
"2023-07-31_1_C","2023-07-31_2_W","2023-07-31_3_C","2023-07-31_4_C","2023-07-31_5_C","2023-07-31_6_W","2023-07-31_7_C","2023-07-31_8_C","2023-07-31_9_W","2023-07-31_10_A","2023-07-31_11_A","2023-07-31_12_A"
"2023-08-05_1_A","2023-08-05_2_C","2023-08-05_3_A","2023-08-05_4_W","2023-08-05_5_W","2023-08-05_6_C","2023-08-05_7_W","2023-08-05_8_A","2023-08-05_9_C","2023-08-05_10_C","2023-08-05_11_C","2023-08-05_12_C"
"2023-08-10_1_C","2023-08-10_2_A","2023-08-10_3_C","2023-08-10_4_C","2023-08-10_5_C","2023-08-10_6_A","2023-08-10_7_C","2023-08-10_8_C","2023-08-10_9_A","2023-08-10_10_W","2023-08-10_11_W","2023-08-10_12_W"
